Brand,Model,Variant,Fuel Type,City,Ex-Showroom Price,RTO,Insurance
Jeep,Jeep Compass,2.0 Sport,Diesel  Base Model,Chennai,"18,99,000","3,65,120","1,02,489"
Jeep,Jeep Compass,2.0 Longitude Opt,Diesel,Chennai,"24,83,000","5,19,900","1,24,375"
Jeep,Jeep Compass,2.0 Night Eagle,Diesel,Chennai,"25,18,000","5,26,900","1,25,686"
Jeep,Jeep Compass,2.0 Limited Opt,Diesel,Chennai,"26,33,000","5,49,900","1,29,996"
Jeep,Jeep Compass,2.0 Longitude Opt AT,Diesel,Chennai,"26,83,000","5,59,900","1,31,870"
Jeep,Jeep Compass,2.0 Black Shark Opt,Diesel,Chennai,"26,83,000","5,59,900","1,31,870"
Jeep,Jeep Compass,2.0 Night Eagle AT,Diesel,Chennai,"27,18,000","5,66,900","1,33,181"
Jeep,Jeep Compass,2.0 Model S Opt,Diesel,Chennai,"28,33,000","5,89,900","1,37,491"
Jeep,Jeep Compass,2.0 Limited Opt FWD AT,Diesel,Chennai,"28,33,000","5,89,900","1,37,491"
Jeep,Jeep Compass,2.0 Black Shark Opt FWD AT,Diesel,Chennai,"28,83,000","5,99,900","1,39,365"
Jeep,Jeep Compass,2.0 Model S Opt FWD AT,Diesel,Chennai,"30,33,000","6,29,900","1,44,986"
Jeep,Jeep Compass,2.0 Model S Opt 4x4 AT,Diesel  Top Model,Chennai,"32,41,000","6,71,500","1,52,781"
Jeep,Jeep Compass,2.0 Sport,Diesel  Base Model,Ahmedabad,"18,99,000","1,13,940","1,02,453"
Jeep,Jeep Compass,2.0 Longitude Opt,Diesel,Ahmedabad,"24,83,000","1,05,020","1,18,425"
Jeep,Jeep Compass,2.0 Night Eagle,Diesel,Ahmedabad,"25,18,000","1,06,420","1,19,605"
Jeep,Jeep Compass,2.0 Limited Opt,Diesel,Ahmedabad,"26,33,000","1,11,020","1,23,483"
Jeep,Jeep Compass,2.0 Longitude Opt AT,Diesel,Ahmedabad,"26,83,000","1,13,020","1,25,169"
Jeep,Jeep Compass,2.0 Black Shark Opt,Diesel,Ahmedabad,"26,83,000","1,13,020","1,25,169"
Jeep,Jeep Compass,2.0 Night Eagle AT,Diesel,Ahmedabad,"27,18,000","1,14,420","1,26,349"
Jeep,Jeep Compass,2.0 Model S Opt,Diesel,Ahmedabad,"28,33,000","1,19,020","1,30,227"
Jeep,Jeep Compass,2.0 Limited Opt FWD AT,Diesel,Ahmedabad,"28,33,000","1,19,020","1,30,227"
Jeep,Jeep Compass,2.0 Black Shark Opt FWD AT,Diesel,Ahmedabad,"28,83,000","1,21,020","1,31,913"
Jeep,Jeep Compass,2.0 Model S Opt FWD AT,Diesel,Ahmedabad,"30,33,000","1,27,020","1,36,971"
Jeep,Jeep Compass,2.0 Model S Opt 4x4 AT,Diesel  Top Model,Ahmedabad,"32,41,000","1,35,340","1,43,984"
Jeep,Jeep Compass,2.0 Sport,Diesel  Base Model,Lucknow,"18,99,000","1,96,250","1,10,335"
Jeep,Jeep Compass,2.0 Longitude Opt,Diesel,Lucknow,"24,83,000","2,54,650","1,41,000"
Jeep,Jeep Compass,2.0 Night Eagle,Diesel,Lucknow,"25,18,000","2,58,150","1,41,000"
Jeep,Jeep Compass,2.0 Limited Opt,Diesel,Lucknow,"26,33,000","2,69,650","1,48,666"
Jeep,Jeep Compass,2.0 Longitude Opt AT,Diesel,Lucknow,"26,83,000","2,74,650","1,51,000"
Jeep,Jeep Compass,2.0 Black Shark Opt,Diesel,Lucknow,"26,83,000","2,74,650","1,51,000"
Jeep,Jeep Compass,2.0 Night Eagle AT,Diesel,Lucknow,"27,18,000","2,78,150","1,51,000"
Jeep,Jeep Compass,2.0 Model S Opt,Diesel,Lucknow,"28,33,000","2,89,650","1,58,000"
Jeep,Jeep Compass,2.0 Limited Opt FWD AT,Diesel,Lucknow,"28,33,000","2,89,650","1,58,000"
Jeep,Jeep Compass,2.0 Black Shark Opt FWD AT,Diesel,Lucknow,"28,83,000","2,94,650","1,60,000"
Jeep,Jeep Compass,2.0 Model S Opt FWD AT,Diesel,Lucknow,"30,33,000","3,12,800","1,63,000"
Jeep,Jeep Compass,2.0 Model S Opt 4x4 AT,Diesel  Top Model,Lucknow,"32,41,000","3,30,450","1,76,633"
